event_id,event_time,campaign_id,user_id,event_type,amount
e00000000,2026-06-01 00:00:00,5544859,3683849,click,0
e00000001,2026-06-01 00:00:01,497593,9484306,click,0
e00000002,2026-06-01 00:00:02,17288254,13588328,click,0
e00000003,2026-06-01 00:00:03,15661602,18362463,click,0
e00000004,2026-06-01 00:00:04,2576437,18883431,click,0
e00000005,2026-06-01 00:00:05,9106407,31640511,conversion,30000
e00000006,2026-06-01 00:00:06,13576407,19007210,click,0
e00000007,2026-06-01 00:00:07,32323516,11270134,click,0
e00000008,2026-06-01 00:00:08,15654897,16035825,click,0
e00000009,2026-06-01 00:00:09,7686710,23059196,click,0
e00000010,2026-06-01 00:00:10,22391321,11875709,click,0
e00000011,2026-06-01 00:00:11,22391321,19785617,click,0
e00000012,2026-06-01 00:00:12,25102583,17543706,click,0
e00000013,2026-06-01 00:00:13,15184511,19172107,click,0
e00000014,2026-06-01 00:00:14,15654897,23006846,click,0
e00000015,2026-06-01 00:00:15,10341182,16889163,click,0
e00000016,2026-06-01 00:00:16,6810200,19958534,click,0
e00000017,2026-06-01 00:00:17,27321366,28713612,click,0
e00000018,2026-06-01 00:00:18,27009860,28112708,click,0
e00000019,2026-06-01 00:00:19,9095251,14368518,click,0
e00000020,2026-06-01 00:00:20,24126625,10550146,click,0
e00000021,2026-06-01 00:00:21,3877975,10113098,click,0
e00000022,2026-06-01 00:00:22,21640043,18870413,click,0
e00000023,2026-06-01 00:00:23,27990027,22605535,click,0
e00000024,2026-06-01 00:00:24,8980585,19691338,click,0
e00000025,2026-06-01 00:00:25,31772643,6315341,click,0
e00000026,2026-06-01 00:00:26,7121544,15954376,click,0
e00000027,2026-06-01 00:00:27,5061823,12230913,click,0
e00000028,2026-06-01 00:00:28,2576437,21264795,click,0
e00000029,2026-06-01 00:00:29,10341182,9864248,click,0
e00000030,2026-06-01 00:00:30,5061834,25328335,click,0
e00000031,2026-06-01 00:00:31,30491418,30981270,click,0
e00000032,2026-06-01 00:00:32,18975823,7404746,click,0
e00000033,2026-06-01 00:00:33,28351001,24896751,click,0
e00000034,2026-06-01 00:00:34,27589150,6037384,click,0
e00000035,2026-06-01 00:00:35,17710664,13799067,click,0
e00000036,2026-06-01 00:00:36,14104561,9432169,click,0
e00000037,2026-06-01 00:00:37,1586481,24420111,click,0
e00000038,2026-06-01 00:00:38,7686710,16440316,click,0
e00000039,2026-06-01 00:00:39,8980571,2812066,click,0
e00000040,2026-06-01 00:00:40,2716286,5080131,click,0
e00000041,2026-06-01 00:00:41,17686799,13317473,click,0
e00000042,2026-06-01 00:00:42,497593,4658258,click,0
e00000043,2026-06-01 00:00:43,26998428,28516771,conversion,30000
e00000044,2026-06-01 00:00:44,28351001,20986590,click,0
e00000045,2026-06-01 00:00:45,30535894,14150361,click,0
e00000046,2026-06-01 00:00:46,12700454,8708373,click,0
e00000047,2026-06-01 00:00:47,30801593,18878499,click,0
e00000048,2026-06-01 00:00:48,19129839,22557516,click,0
e00000049,2026-06-01 00:00:49,5121547,514591,click,0
e00000050,2026-06-01 00:00:50,9100691,7975971,click,0
e00000051,2026-06-01 00:00:51,28351001,20116031,click,0
e00000052,2026-06-01 00:00:52,10341182,81825,click,0
e00000053,2026-06-01 00:00:53,15398570,23858322,click,0
e00000054,2026-06-01 00:00:54,13166099,5131255,click,0
e00000055,2026-06-01 00:00:55,787943,4134776,click,0
e00000056,2026-06-01 00:00:56,716288,10705955,click,0
e00000057,2026-06-01 00:00:57,497593,11404553,click,0
e00000058,2026-06-01 00:00:58,29427842,23264280,click,0
e00000059,2026-06-01 00:00:59,6686701,30580797,click,0
e00000060,2026-06-01 00:01:00,32368244,5357004,conversion,30000
e00000061,2026-06-01 00:01:01,25419531,10757012,click,0
e00000062,2026-06-01 00:01:02,15398570,3384567,click,0
e00000063,2026-06-01 00:01:03,23288223,13267457,click,0
e00000064,2026-06-01 00:01:04,32368244,20280968,click,0
e00000065,2026-06-01 00:01:05,15398570,13239867,click,0
e00000066,2026-06-01 00:01:06,14661605,25945716,click,0
e00000067,2026-06-01 00:01:07,2865314,6505745,click,0
e00000068,2026-06-01 00:01:08,23385780,31397283,click,0
e00000069,2026-06-01 00:01:09,15398570,21125463,click,0
e00000070,2026-06-01 00:01:10,13166099,24371457,click,0
e00000071,2026-06-01 00:01:11,2953716,25519174,click,0
e00000072,2026-06-01 00:01:12,30491418,8740732,click,0
e00000073,2026-06-01 00:01:13,2828357,29038021,click,0
e00000074,2026-06-01 00:01:14,3466867,24683897,conversion,30000
e00000075,2026-06-01 00:01:15,24316983,11301860,click,0
e00000076,2026-06-01 00:01:16,14661605,29818829,click,0
e00000077,2026-06-01 00:01:17,8980585,2610439,click,0
e00000078,2026-06-01 00:01:18,15184511,28672790,click,0
e00000079,2026-06-01 00:01:19,1632450,19806435,click,0
e00000080,2026-06-01 00:01:20,15959625,9312687,click,0
e00000081,2026-06-01 00:01:21,30491418,30269435,conversion,30000
e00000082,2026-06-01 00:01:22,21640043,2247138,click,0
e00000083,2026-06-01 00:01:23,10341182,3355190,click,0
e00000084,2026-06-01 00:01:24,18498853,28701746,click,0
e00000085,2026-06-01 00:01:25,32009848,15808749,click,0
e00000086,2026-06-01 00:01:26,30801593,25134078,click,0
e00000087,2026-06-01 00:01:27,2869134,11465715,click,0
e00000088,2026-06-01 00:01:28,29614011,7445295,click,0
e00000089,2026-06-01 00:01:29,20458055,30801860,click,0
e00000090,2026-06-01 00:01:30,10810198,4303754,click,0
e00000091,2026-06-01 00:01:31,14289571,18277642,click,0
e00000092,2026-06-01 00:01:32,23817046,4031684,click,0
e00000093,2026-06-01 00:01:33,28739284,4950905,click,0
e00000094,2026-06-01 00:01:34,28389117,13296090,click,0
e00000095,2026-06-01 00:01:35,15398570,21799766,click,0
e00000096,2026-06-01 00:01:36,15184511,9039835,click,0
e00000097,2026-06-01 00:01:37,15506599,1367639,click,0
e00000098,2026-06-01 00:01:38,12002431,7893684,click,0
e00000099,2026-06-01 00:01:39,10474106,2690095,click,0
e00000100,2026-06-01 00:01:40,17686799,18993771,click,0
e00000101,2026-06-01 00:01:41,14661605,2544471,click,0
e00000102,2026-06-01 00:01:42,15654897,19389271,click,0
e00000103,2026-06-01 00:01:43,17686799,27164729,click,0
e00000104,2026-06-01 00:01:44,29427842,21257679,click,0
e00000105,2026-06-01 00:01:45,18836888,30740149,click,0
e00000106,2026-06-01 00:01:46,5061834,14200692,click,0
e00000107,2026-06-01 00:01:47,828346,2976217,click,0
e00000108,2026-06-01 00:01:48,29427842,21691261,click,0
e00000109,2026-06-01 00:01:49,31452108,546100,click,0
e00000110,2026-06-01 00:01:50,23817046,30924459,click,0
e00000111,2026-06-01 00:01:51,10341182,29027153,click,0
e00000112,2026-06-01 00:01:52,27589150,24502757,click,0
e00000113,2026-06-01 00:01:53,15184511,7703165,click,0
e00000114,2026-06-01 00:01:54,13422843,31611565,click,0
e00000115,2026-06-01 00:01:55,5061834,29343884,click,0
e00000116,2026-06-01 00:01:56,13422843,2805457,click,0
e00000117,2026-06-01 00:01:57,497590,7442480,click,0
e00000118,2026-06-01 00:01:58,32368244,24492986,conversion,30000
e00000119,2026-06-01 00:01:59,19602309,23124243,click,0
e00000120,2026-06-01 00:02:00,13365547,5170383,click,0
e00000121,2026-06-01 00:02:01,27009857,6246169,click,0
e00000122,2026-06-01 00:02:02,14121532,5651304,click,0
e00000123,2026-06-01 00:02:03,25419531,8955185,click,0
e00000124,2026-06-01 00:02:04,29345613,31384378,click,0
e00000125,2026-06-01 00:02:05,5281156,6583773,click,0
e00000126,2026-06-01 00:02:06,15959625,4145109,click,0
e00000127,2026-06-01 00:02:07,716288,1435240,click,0
e00000128,2026-06-01 00:02:08,2953716,6033831,click,0
e00000129,2026-06-01 00:02:09,15184511,32359041,click,0
e00000130,2026-06-01 00:02:10,26383495,11388783,click,0
e00000131,2026-06-01 00:02:11,8403848,3682872,click,0
e00000132,2026-06-01 00:02:12,9610626,12321287,click,0
e00000133,2026-06-01 00:02:13,12843316,680210,click,0
e00000134,2026-06-01 00:02:14,12700454,1375509,click,0
e00000135,2026-06-01 00:02:15,32452111,23568582,click,0
e00000136,2026-06-01 00:02:16,28351001,20159891,click,0
e00000137,2026-06-01 00:02:17,30752994,14967103,click,0
e00000138,2026-06-01 00:02:18,26852338,29844012,click,0
e00000139,2026-06-01 00:02:19,9700343,27514180,click,0
e00000140,2026-06-01 00:02:20,26852338,7971833,click,0
